c_obs,k_obs
0.007634047368748969,0.09199067343103116
-0.001933055353623119,0.09553124614298877
0.03813393855574722,0.039218061441200186
0.022220036346076364,0.18276702366144928
0.03035225000208786,0.24861822220167573
0.042500908985175986,0.24739984226798434
0.019377148107855447,0.2462925297913209
0.0028777624745874586,0.24291501604462648
0.03045020980346494,0.2224647603667682
0.029995644843009546,0.2723589816626425
0.03944089506882665,0.2687389915105399
0.005857542042508964,0.23461533307484886
-0.011237827587888839,0.18581719869808655
0.013400783975104953,0.11573967917620602
-0.00403604945966108,0.054927211663587584
0.006460321432243989,0.04777386984191356
-0.019000188867215162,0.015628683296169534
-0.014748183529965505,-0.07080186730791882
-0.03430610745307894,-0.17953384534460917
-0.03575663402117671,-0.284419926533943
-0.06059549543631846,-0.3742375735574079
-0.06283428788109384,-0.4608331333456029
-0.04652534120258526,-0.5502700255641669
-0.05477984049336849,-0.5242033003858937
-0.061197801011854305,-0.6239979964104934
-0.061807105458921006,-0.6757574602981842
-0.05994564610206825,-0.5810224252350429
-0.05177243026954129,-0.6218503848940923
-0.06421141493458857,-0.5266855235353984
-0.0445598017323247,-0.5416894352945159
-0.030992702045022448,-0.4724202945228948
-0.04905332245423553,-0.2951843362072234
-0.03864242178222457,-0.34273258715171984
-0.04240713766978793,-0.26023130663880406
-0.018353570197968704,-0.20585125674037388
-0.023921215159488217,-0.20066078697896136
-0.028122660269880063,-0.20990441333163745
-0.03223808760031136,-0.25768486638703836
-0.04164119543267216,-0.3501382671726712
-0.02319871055063849,-0.3669277780843794
-0.03491195066660972,-0.31212843548683783
-0.04604052888170845,-0.42811535706125103
-0.060580043136191905,-0.4156522136144291
-0.04075993911423404,-0.5168321776417635
-0.039659566477123334,-0.45691697152368643
-0.05201738235298177,-0.4907029363157624
-0.06938846491945562,-0.43950665291688745
-0.04971343632111141,-0.6483138344320736
-0.06784794947821307,-0.7251573012099678
-0.06980736354076414,-0.6653513990664508
-0.06833907020968688,-0.6147717763873188
-0.04388574558380635,-0.5944348827782555
-0.0431562036492305,-0.41881021793810225
-0.06678887202799423,-0.3918855971577818
-0.04196740457926955,-0.5331828850728553
-0.04205166389984072,-0.4622453195111527
-0.027627488824880905,-0.44408263862941216
-0.04814907132382181,-0.40101174347325247
-0.033692574903017435,-0.4632661803784173
-0.059115431695864314,-0.4574842275609045
-0.055298720575346225,-0.4547194669275048
-0.03328674545714015,-0.4710269135216218
-0.051639152855600605,-0.4350435337264279
-0.03075772852277939,-0.4581253553678095
-0.049763695822874154,-0.36115507863817964
-0.05091823907548909,-0.39964064286858914
-0.0350379252459096,-0.40580528620759715
-0.024227779701073333,-0.3281779049770992
-0.018189396614807726,-0.28376345233169137
-0.020428820550229494,-0.29058304975791105
-0.05161516796177982,-0.3730411451888979
-0.048950418400316664,-0.43604867230910144
-0.04805774363173518,-0.5672191532271701
-0.03628955702372699,-0.535487799580047
-0.05074478528339524,-0.44786314319846826
-0.04291797547614401,-0.4587295789769329
-0.05703677068459237,-0.4888743222524022
-0.05497318817525085,-0.47118143145251606
-0.049094654148986894,-0.5297851005115041
-0.045317333470706905,-0.52605727620269
-0.03369865106668466,-0.5295898232790038
-0.04134372985300614,-0.4808898259080442
-0.04893527334078575,-0.5130935500562471
-0.06038015487269729,-0.5437971121591174
-0.05926908431876197,-0.6052065397948762
-0.048650219316461095,-0.5923088390377507
-0.059502338728105994,-0.5641653128246109
-0.06094354161058643,-0.5929890466219042
-0.07381807118788662,-0.6152101081477684
-0.077831409710804,-0.6534022379136403
-0.06714761184777278,-0.7153411480897215
-0.07668697928254439,-0.657851316011711
-0.07404548750241477,-0.7182010488381694
-0.05528409731268441,-0.5833831865043589
-0.04033055769575712,-0.47747927527710715
-0.04864602518146285,-0.38889955917920394
-0.026103128251577623,-0.4172010932854668
-0.05061031733368684,-0.4090994096676601
-0.05710145682782781,-0.45026226807327985
-0.05850484424357034,-0.4487539088012467
-0.041332964635574065,-0.5065408014218336
-0.052232512604128055,-0.510874555587255
-0.05511149125324957,-0.5003082004165574
-0.04031971466993341,-0.45632197991597845
-0.04198280427106501,-0.3636413907858812
-0.02889370730483895,-0.3833563712622696
-0.030477472486460596,-0.32646063076780346
-0.03862094927218945,-0.2628240745600183
-0.01062908482387817,-0.22246448833703877
-0.028391175720646044,-0.20656164250201817
-0.014612631739537398,-0.2255995868667954
-0.018299319154227715,-0.20358759255653808
-0.038677371848175365,-0.21734409240418254
-0.01487115938727952,-0.19667083979654273
-0.026638294701282633,-0.16775895596401127
-0.017436749182873197,-0.23628281242374358
-0.028618995905255143,-0.23642826163572028
-0.023635662234679975,-0.2857290962719094
-0.06154443604461905,-0.2851662561101905
-0.054117761986932376,-0.4746869497498683
-0.06029131130323022,-0.47453713711268697
-0.04726060083134985,-0.4789702756992556
-0.03612560890210597,-0.45111247519112885
-0.045049852070845275,-0.4254593992960092
-0.05638669937709018,-0.4760857861751053
-0.04368067170440687,-0.4055962924938313
-0.034070711703645784,-0.3890548142907965
-0.047576694096889104,-0.4421367861500029
-0.01643741357016288,-0.5511804419892669
-0.013297690487838933,-0.279965817835882
-0.018432605671488543,-0.1632215134117473
-0.01710301200055016,-0.12741566046427583
-0.020297691689105266,-0.11995658579507684
-0.011026085685021728,-0.1605652211299998
-0.005069808659059955,-0.1043286231497751
-0.006066411051448996,-0.007694236754880267
0.012240518148756948,0.04109236205955866
0.010484086604434298,0.07490843703543275
-0.004624313718965957,0.08377370948053375
