c_obs,i_obs
0.0,0.0
-0.002779517342811594,-0.017052653777889493
-0.008247177786404896,-0.04674491994248445
-0.013471522941315772,-0.06833280255930714
-0.003978500391210495,0.00498745752489751
-0.0034551447693536245,0.006336661946067326
-0.00594522967391351,-0.011060197101976732
-0.007644420888302536,-0.019621624917911546
-0.013394475285215576,-0.051147984975269775
-0.0162068725218545,-0.05762298019827821
-0.014265681722276567,-0.033740860351147414
-0.018040432106448852,-0.050621333367174996
-0.01920887196221141,-0.04785519538867535
-0.018499140531584315,-0.03443954204645251
-0.011603553909487299,0.013669702242436691
-0.015539680084773,-0.015688538860972802
-0.014183932567328417,-0.005817827166112104
-0.019720285559669124,-0.04049970076193127
-0.0178008120231233,-0.021586185904511525
-0.022004709605395398,-0.044691526205781255
-0.021962439717931482,-0.036593456574945706
-0.017828867133029287,-0.00542022518540522
-0.0165231649290654,0.001215868497531547
-0.01444111057513567,0.011150140980176413
-0.01487305021283114,0.0034874586519665868
-0.008930111334837922,0.03679181007576545
-0.010932777974403923,0.013903925686116099
-0.01400733644826728,-0.010124387979377217
-0.017498805071279416,-0.03115299773058269
-0.011355458837233039,0.011669952617901626
-0.014450462207743034,-0.01198808535459648
-0.016466519775372623,-0.023565217202728618
-0.017768023121575084,-0.028162820599924074
-0.02080583031827588,-0.04245885898130193
-0.019801470246908932,-0.0288345852437439
-0.01827023418663837,-0.015242355530717157
-0.021305668427607075,-0.03284280193552007
-0.022531942748014067,-0.035393199809604925
-0.025614906098635825,-0.04888274546669252
-0.025760737383568818,-0.04144078222101797
-0.020658989559160335,-0.003693994064578031
-0.02039791613806211,-0.004334031608601994
-0.025442275841316312,-0.037322864512851314
-0.01722459455398386,0.018556126100260067
-0.012623406589399182,0.03948705439148299
-0.0060073644853863364,0.06823317770730039
-0.0019065285469639925,0.07535014728324059
-0.009193536787800466,0.011444625732910427
-0.00688300927608991,0.021338260902256247
-0.005728319252827754,0.02201262449613319
-3.2977941388977194e-5,0.050552294053959085
-0.0015823837550748869,0.02835712754599938
0.00528359111940228,0.06312273032463807
0.0024006553582244443,0.030407539496226297
0.002274153870562997,0.02236993846083021
-0.0003606382233826452,0.0009410424415859122
-0.0017903721086575694,-0.008121972474418778
-0.0020331096004112385,-0.007847873255960657
-0.0051753946283605795,-0.025468832801751405
-0.00825585741808442,-0.03877109993399332
-0.009935262687773967,-0.04061245697454818
-0.006417457877350517,-0.010363900864463193
-0.00038196085658379064,0.028280719372487044
-0.0008630319535270639,0.018174653018487242
0.0045630153997491315,0.0467714054198457
-0.0006781400519060116,0.0035805417798214834
-0.002256333950854051,-0.007104279824071635
-0.00020199053594689947,0.006935848427461604
0.0024602020335732604,0.02149741223804467
0.01321824604968189,0.08248254854182153
0.012823954192236703,0.06139480161694439
0.008495142334076656,0.02139908488813895
0.002671871724144855,-0.0183937245995241
0.0016544572737632376,-0.01961061044055731
0.0016400768662114531,-0.014524482726563615
0.0063724763887486975,0.018405286293635116
0.004077232632175135,0.0006829402623673552
0.007606704979469294,0.022790650106862192
0.002601014909529636,-0.012471641312609659
0.0012572649435979247,-0.01718743982918877
0.0008886707850475303,-0.014943383927132754
0.0028886526911085083,0.0012125530256843397
0.004583422499696477,0.01174896535496767
-0.006043040143209576,-0.055690582874456496
-0.003543479521529346,-0.0273087617872007
-0.00950972242866473,-0.057603651497863895
-0.011109722599472389,-0.05442479491835233
-0.010290870011003539,-0.037449029955615463
-0.005188160792395786,0.001674800714566421
0.00043777986052644883,0.03497460250371981
0.002735849514531915,0.04036501394583565
-0.001595328435845951,0.004084178257767395
0.002267078085255738,0.026511010266883548
0.0003004512623750856,0.008141241630206162
-0.0008455653091023402,-0.0008863768416895115
-0.00950935999764044,-0.053947024480355446
-0.018138055240729166,-0.09480745535384053
-0.021549051720443548,-0.09472766929213916
-0.025751875091271838,-0.10004902167431778
-0.0341679722217511,-0.13052869874697323
-0.03816660082990961,-0.127549740940457
-0.027641952518146815,-0.03682960009795843
-0.023101235731978025,-0.003970352321814694
-0.022426774041236733,-0.0023794499954644718
-0.018240023732435266,0.02046400712965126
-0.01620089943134148,0.025041924329311183
-0.009542173119206486,0.05712571162972708
-0.010297196257585132,0.036696304096415125
-0.007325134628531337,0.044143224560437504
-0.007888611642581249,0.028486519337411007
-0.011937117055337867,-0.004709152803462149
-0.0040331775625271574,0.043133119269519446
-0.003714980172007571,0.033643950194414525
-0.0031339293346022597,0.028197195959243727
-0.0002983463126220347,0.038038044671430946
0.005427370225157544,0.06357588905927589
0.005176036896176206,0.04691422548479164
0.006147529608348967,0.041896850347803556
0.005095976784830328,0.025875801732968218
0.003204292388089176,0.008559087061804305
0.00538569658196518,0.02028611311025896
0.007383164102764359,0.028276759284006407
0.011536576893682482,0.04779576828121937
0.009643034123709319,0.025955449429882194
0.006156395415307999,-0.00046905763253446235
0.00190954942314698,-0.0254619907290052
-0.00011796739936054731,-0.031219358487704126
0.006774068302435824,0.01887937267279294
0.007572857511361012,0.020081909313973984
0.007603048042129553,0.01638978808430192
0.0034528282559017597,-0.012018584910790086
-0.0029292962080081355,-0.047628411105497565
-0.0005928264948100574,-0.021792511651587982
-0.0036478145401473436,-0.03515806805052442
-0.005495341096806888,-0.03823066045519076
-0.00945669363606411,-0.053784224862786625
-0.006818833989091515,-0.025555836157129298
-0.00624709437253128,-0.016681664504868323
-0.005076375619944216,-0.006271658483461119
-0.0026688766995601803,0.009293669750637923
-0.0053513965395720975,-0.009905160910809969
-0.006887932395939073,-0.017667414731401637
0.0019890656205253593,0.040170536744587
0.0015006883704939806,0.02739997583752615
0.00042244989262560937,0.0141399683611839
0.003567472949556916,0.029951905566033898
0.006366520478375302,0.04015616850435246
0.009262633725099292,0.04882484995269514
0.0052421948962192615,0.013328798344581227
-0.0004266479239168142,-0.023990553337182113
-0.002189264780185699,-0.028850256372929664
-0.0023107027543286685,-0.0226921150705221
-0.003525641469712598,-0.024806520534771573
-0.008099365866492804,-0.04718326530272193
-0.012348478146820212,-0.06265532526155351
-0.0056398969217725595,-0.0076702421133039884
-0.01212184801580243,-0.04637820284740701
-0.017892079552275467,-0.07200146359165069
-0.014530347215512444,-0.036054856907002795
-0.01549861675218078,-0.035177229391999965
-0.018613134214187782,-0.047835797017696156
-0.025776272383895724,-0.08263458493525447
-0.023543616144049682,-0.052156238909231205
-0.024276150287729434,-0.047174705637883944
-0.024703751395833938,-0.04168466950610933
-0.020586765386135044,-0.009756193447911869
-0.021560560673084185,-0.01644011613932142
-0.020880752514787132,-0.011451256595973815
-0.020820016437840372,-0.011407986532085603
-0.023436456886295025,-0.0277910392772422
-0.02911751951579917,-0.05926644677048988
-0.027495276931682692,-0.03890894701060579
-0.028650849496334937,-0.0404528436221713
-0.030425176574719513,-0.04558272168743359
-0.03444815267061954,-0.06349329536528926
-0.04075896408907061,-0.09156300190817397
-0.04291958613324513,-0.08809565499083798
-0.04256105636417833,-0.07037442714884405
-0.049260756042347975,-0.10034776770611807
-0.04602725834938412,-0.06288664214329891
