c_obs,i_obs
0.00257989583282196,0.0018814645187394253
-0.0009567328174299129,-0.04075059306897327
-0.011244001061034195,-0.0676810965568952
-0.013332384111418079,-0.07442211956214931
-0.015282732145735224,-0.06441155470367699
-0.009576244258254232,-0.046523788037590656
-0.016536696627611418,-0.03153586119577197
-0.022652736198492885,-0.05744436342285005
-0.016981837392235,-0.014810460440835385
-0.017868450891973555,-0.02313831021070345
-0.007964181983363917,0.005355926769659984
-0.012794131926894249,-0.005487964085312689
-0.012731066343326995,-0.024279100401083935
-0.010930777756386898,-0.014087993477951956
-0.016964010697205354,-0.011529093828187282
-0.020907674196533155,-0.051942374033031875
-0.019228278625050364,-0.04348050402276587
-0.024279192562304854,-0.0391618614434598
-0.022297656305200066,0.003291840509637491
-0.018178766027916432,-0.021101462154614902
-0.014247826312805275,-0.004346386836355605
-0.017052470309494704,0.009123129167280548
-0.018379622545957607,0.011353237509774733
-0.018237300639834524,-0.019374704680193696
-0.02498917828087785,-0.04530797988500104
-0.026268382943315988,-0.04231073768506717
-0.016593721270998774,-0.01639004599171446
-0.02037730028699117,-0.007596069693377715
-0.0174555074134911,0.021080266876261713
-0.023413827766849808,-0.02151894970788963
-0.020650338281975853,-0.04160238278121345
-0.02442177359224556,-0.03984964229780837
-0.023705313670250958,-0.04881516978704813
-0.0267411345529608,-0.06314550360255149
-0.029364365502448492,-0.05222796663501166
-0.02895271462618129,-0.028931141624493825
-0.023968681274824703,-0.0444420393016939
-0.03116924783350508,-0.0510386125632519
-0.029274337243642177,-0.04261122970477916
-0.028859013833138294,-0.022377486017777476
-0.031369277537716234,0.009255231072309446
-0.027674536798280892,-0.04549152607224995
-0.036137029673526645,-0.041722704065466784
-0.038291890409105994,-0.045987219581678465
-0.04249162905135885,-0.07580197801674761
-0.044229797018617734,-0.0717697992714668
-0.044735965967874894,-0.07450466525093573
-0.05118016367342093,-0.07335348381229544
-0.049872502633218456,-0.08460637717719167
-0.04608513198831653,-0.056820224835830435
-0.04760838634555701,-0.041542852189151165
