c_obs,i_obs
0.006683148869829161,-0.006137486186030776
0.02096208825681479,0.02130592272425394
-0.019606081606285033,-0.010050900776266804
-0.0008903798459371826,-0.005366152320527603
0.018244819257333376,0.11590684933538976
0.008600640033076035,0.05137338526829543
0.01942114783389277,0.04917503767648271
-0.007890474859459604,-0.009488323311421555
0.01161735521954848,0.004232214638209523
0.02186926434131269,-0.008756959631312176
0.022083249354315923,0.09489221240035792
0.03916518440524312,0.16555778363029094
0.044504723224562774,0.06907013379032394
0.03331718357361949,0.04990126177663126
0.013552861918113559,0.01827434804757859
0.007218793328509442,-0.1396351924800603
-0.03012156151629476,-0.2505599165905142
-0.03670214002212374,-0.24185099692429282
-0.020481776639306323,-0.19290648104539201
-0.026253323995204584,-0.10376397280778625
-0.03536775923531685,-0.11325529696855854
-0.03871176976603837,-0.07615289753901328
-0.020350542860961798,0.005661196998162328
-0.011099486795579497,0.09146047526221793
-0.02622878886115492,0.011103649184391221
-0.03061819864762313,-0.07626142731409129
-0.0538018646320034,-0.19529373842543815
-0.049540675210401876,-0.09110355250550108
-0.03978626437644906,-0.08729201803589587
-0.025294398857053944,-0.01838442374741219
-0.03041245664328557,-0.07840892947821436
-0.03851043281307874,-0.022143494816237768
-0.009649586785904078,0.08938317356109346
-0.025624675417077282,0.079203265921625
-0.03636023755628132,-0.06595574047196201
-0.01964067043047245,0.04041636756581728
-0.018733591302582512,0.023409593420028168
-0.03366577272411363,-0.02673865376684783
-0.028920218731419273,-0.039593818281016206
-0.015064653223402323,-0.011458531996586065
-0.02012463228488798,0.03566473909227742
-0.007650180274315323,-0.0179800217806702
-0.030192244217541686,-0.020876296575736787
-0.017664581294570384,-0.02772457332161718
-0.007064726099948472,0.013777423286427504
-0.03079661694503603,-0.040360822304844
-0.02487485599761278,-0.06166992372407272
-0.024518144607580436,-0.025482203229384156
-0.04989189142855021,-0.06997013960653004
-0.03528474459476045,-0.05303797179063806
-0.06196531245064916,-0.17121610092696515
-0.05168679411923402,-0.09555993882236993
-0.06635203468045309,-0.07885949845642355
-0.05250676616773313,-0.12684778335454716
-0.05671171104413263,-0.15598159899055702
